id,rep_count,visibility_score,hour_of_day,day_of_week,month,left_knee_angle,right_knee_angle,knee_angle_mean,left_hip_angle,right_hip_angle,hip_angle_mean,trunk_inclination,left_right_symmetry,label_encoded,phase_encoded
1,0,0.9994,15,4,5,136.82,132.36,126.24,88.51,89.71,88.85,8.63,4.79,1,1
2,16,0.9847,14,5,5,33.21,29.17,31.19,71.37,65.2,68.28,7.81,5.11,1,0
3,16,0.9955,14,5,5,47.54,44.76,46.15,63.25,60.57,61.91,6.51,2.73,1,0
4,16,0.9955,14,5,5,34.47,59.0,46.74,40.51,79.86,60.19,19.05,31.94,1,0
5,16,0.995,14,5,5,123.13,37.55,80.34,156.17,60.99,108.58,19.83,90.38,1,0
6,19,0.9732,14,5,5,136.82,49.15,49.15,149.86,84.39,117.13,7.62,4.79,1,0
7,20,0.9645,14,5,5,152.35,143.04,147.69,155.63,172.53,164.08,5.39,13.1,1,0
8,21,0.9473,14,5,5,150.68,146.62,148.65,171.86,170.87,171.37,8.75,2.52,1,1
9,27,0.9818,14,5,5,151.95,158.7,155.33,147.1,173.46,160.28,17.61,16.56,1,1
10,28,0.9892,14,5,5,48.23,37.93,43.08,77.1,63.8,70.45,7.32,11.8,1,0
11,29,0.9709,14,5,5,139.1,142.39,140.74,165.58,152.38,158.98,6.41,8.24,1,1
12,31,0.9366,14,5,5,124.84,153.36,139.1,123.54,129.29,126.41,10.72,17.14,1,1
13,34,0.8978,14,5,5,147.96,171.06,159.51,162.03,166.81,164.42,10.51,13.94,1,1
14,35,0.976,14,5,5,152.28,162.32,157.3,166.04,163.89,164.96,4.78,6.09,1,1
15,41,0.9448,14,5,5,176.88,179.94,178.41,148.12,152.58,150.35,4.23,3.76,1,1
16,42,0.9778,14,5,5,29.63,25.25,27.44,44.58,45.86,45.22,8.48,2.82,1,0
17,42,0.9828,14,5,5,36.2,26.91,31.55,58.48,63.19,60.83,7.7,7.0,1,0
18,43,0.9749,14,5,5,136.82,149.82,149.82,88.51,160.48,160.48,2.55,4.79,1,1
19,43,0.9835,14,5,5,136.82,170.91,170.91,88.51,173.94,173.94,4.09,4.79,1,1
20,43,0.8999,14,5,5,166.51,120.13,143.32,169.03,153.44,161.24,4.54,30.99,1,1
21,43,0.8986,14,5,5,158.07,171.8,164.93,153.45,168.63,161.04,6.75,14.46,1,1
22,45,0.8815,14,5,5,173.31,171.38,172.35,162.19,171.89,167.04,9.43,5.81,1,1
23,45,0.9669,14,5,5,50.37,134.68,92.53,30.65,144.34,87.5,10.8,99.0,1,0
24,46,0.9723,14,5,5,162.75,50.48,106.61,167.8,63.11,115.45,16.1,108.47,1,0
25,49,0.9426,14,5,5,146.36,106.13,126.24,164.0,100.01,132.0,15.37,52.11,1,1
26,51,0.9002,14,5,5,125.36,163.02,144.19,92.25,156.31,124.28,7.67,50.86,1,1
27,54,0.9161,14,5,5,161.09,147.61,154.35,152.39,132.25,142.32,15.2,16.81,1,1
28,56,0.9451,14,5,5,178.1,149.79,163.95,154.33,137.96,146.14,13.25,22.34,1,1
29,57,0.9797,14,5,5,166.34,169.25,167.79,162.66,157.08,159.87,4.98,4.24,1,1
30,58,0.963,14,5,5,169.57,174.26,171.91,154.27,152.37,153.32,4.4,3.3,1,1
31,58,0.9837,14,5,5,144.94,154.35,149.64,149.85,159.0,154.43,7.39,9.28,1,1
32,58,0.9844,14,5,5,30.82,26.45,28.63,43.13,45.88,44.51,9.45,3.56,1,0
33,58,0.9846,14,5,5,25.57,23.44,24.51,28.99,31.59,30.29,13.46,2.37,1,0
34,58,0.9417,14,5,5,122.77,51.32,87.05,129.2,97.46,113.33,19.58,51.6,1,0
35,58,0.9462,14,5,5,135.83,103.99,119.91,133.52,101.14,117.33,32.8,32.11,1,0
36,58,0.9883,14,5,5,136.82,159.24,159.24,88.51,145.5,145.5,72.36,4.79,1,0
52,70,0.9938,14,5,5,55.46,36.04,45.75,97.33,80.3,88.81,6.95,18.23,1,0
53,70,0.9887,14,5,5,42.86,33.35,38.11,83.51,78.12,80.82,6.42,7.45,1,0
54,71,0.99,14,5,5,133.99,142.93,138.46,139.54,145.15,142.34,6.94,7.28,1,1
37,59,0.963,14,5,5,150.45,149.33,149.89,168.17,161.94,165.05,7.36,3.67,1,1
38,63,0.936,14,5,5,167.61,129.18,148.4,162.33,114.61,138.47,16.65,43.07,1,1
39,65,0.9633,14,5,5,178.84,175.09,176.97,162.98,164.89,163.94,6.19,2.83,1,1
40,65,0.9895,14,5,5,115.54,126.2,120.87,140.35,140.97,140.66,5.76,5.64,1,0
41,67,0.9766,14,5,5,165.41,166.05,165.73,173.02,171.38,172.2,7.8,1.14,1,1
42,67,0.949,14,5,5,148.83,153.36,151.1,175.82,167.68,171.75,8.48,6.33,1,1
43,67,0.9607,14,5,5,92.19,118.11,105.15,101.56,128.67,115.11,12.01,26.52,1,0
44,67,0.9477,14,5,5,80.08,110.57,95.32,87.73,118.93,103.33,14.18,30.84,1,0
45,68,0.9849,14,5,5,136.12,134.99,135.56,151.96,153.81,152.89,6.09,1.49,1,1
46,68,0.8583,14,5,5,84.51,132.36,84.51,44.67,89.71,44.67,46.25,4.79,1,0
47,68,0.8192,14,5,5,97.5,132.36,97.5,92.27,89.71,92.27,36.52,4.79,1,0
48,70,0.955,14,5,5,128.63,132.36,128.63,135.99,89.71,135.99,19.13,4.79,1,1
49,70,0.8862,14,5,5,157.46,150.06,153.76,111.71,144.92,128.31,5.5,20.31,1,0
50,70,0.9795,14,5,5,68.45,45.12,56.79,105.23,78.49,91.86,6.65,25.03,1,0
51,70,0.9886,14,5,5,51.22,112.57,81.89,57.13,137.89,97.51,14.65,71.05,1,0
55,72,0.9777,14,5,5,41.57,99.82,70.7,32.59,102.99,67.79,9.62,64.33,1,0
56,74,0.9479,14,5,5,151.99,160.1,156.04,151.66,160.62,156.14,5.08,8.53,1,1
57,75,0.9613,14,5,5,129.81,30.03,79.92,162.76,58.81,110.78,16.09,101.87,1,0
58,80,0.9291,14,5,5,173.59,177.2,175.4,176.6,172.99,174.8,4.55,3.61,1,1
59,6,0.9784,14,5,5,112.0,134.93,123.46,138.53,155.9,147.21,6.51,20.15,0,0
60,7,0.9828,14,5,5,31.64,26.15,28.9,41.2,37.95,39.58,11.8,4.37,0,0
61,8,0.9835,14,5,5,115.08,136.73,125.9,129.77,151.98,140.88,6.26,21.93,0,0
62,9,0.9884,14,5,5,26.54,21.69,24.11,30.03,30.28,30.15,12.67,2.54,0,0
63,5,0.9821,14,5,5,45.66,39.31,42.49,55.71,54.44,55.08,12.29,3.81,0,0
64,6,0.9166,14,5,5,178.15,172.85,175.5,158.53,155.46,157.0,6.07,4.18,0,1
65,6,0.9894,14,5,5,58.08,48.55,53.31,78.25,73.39,75.82,9.92,7.19,0,0
66,14,0.9704,14,5,5,135.22,59.02,97.12,146.85,68.8,107.83,10.13,77.12,0,0
